MetaboliteID,UABT00017,UABT00018,UABT00019,UABT00020,UABT00021,UABT00022,UABT00023,UABT00024,UABT00025,UABT00026,UABT00027,UABT00028,UABT00029,UABT00030,UABT00031,UABT00032
M001,118686480,118194008,127250536,128821544,57021484,60468604,63099520,62423888,96485384,82877488,92456912,86991192,118037808,109185064,113855096,103532072
M002,21375428,21715452,22492250,22655304,49804736,51531580,54412028,52112968,18721422,15109984,15118703,15458042,13680776,12620906,13468966,11850303
M003,642557,708316,747855,745997,NA,NA,NA,NA,458960,563960,595341,465883,197463,202171,188601,103120
M004,1120826,1231380,995357,1136654,315657,433727,NA,316996,436946,1061946,625272,504194,1619876,1392279,942779,1657302
M005,177932,182138,232959,252054,241007,209047,152353,152402,175493,179304,188571,223845,NA,263213,245326,189577
M006,16020512,15510534,19308132,16902930,22118182,22116106,21546458,19442360,19191832,15825686,22356516,15907870,22781688,22026964,21295760,19607734
M007,654801,720635,660601,706834,NA,NA,NA,NA,657951,486002,389439,384526,701350,462352,620431,424170
M009,14079778,15085543,11839441,14533008,393073,NA,694219,NA,7978119,9338350,6926079,7485420,7936403,7720005,7488846,7250539
M010,187669,182602,209358,331122,NA,NA,NA,NA,NA,NA,NA,NA,178815,158839,160288,166648
M011,413280,393549,455204,NA,NA,NA,247595,NA,NA,222689,483808,NA,NA,NA,NA,NA
M012,329212,250572,328377,346880,167220,169191,180465,161509,244610,266177,213884,213603,128779,126613,124379,131747
M013,86075392,89961264,99962392,100099368,4574624,4182947,4503384,4154318,82839432,71079640,79968824,80234272,71669488,69464736,66178140,68088752
M014,642734,591174,724539,651771,NA,NA,NA,NA,455367,283264,279872,195910,932103,1018352,1047184,909492
M017,1377836,861209,1294340,1246977,241682,189717,NA,211855,1537688,991058,1091717,1158131,1046609,1069284,1006726,1076780
M018,431735,343474,463505,395200,190065,328232,275647,520420,465555,273716,302498,280746,354087,482813,555190,389614
M019,352212096,333722496,361228544,352549824,48709752,52920832,53506556,52797440,383970656,299337504,332961088,303823968,340623200,316904320,339514176,281830240
M020,377861,1899657,2684722,NA,NA,NA,NA,NA,1778024,993623,NA,NA,NA,NA,NA,NA
M021,630979,643081,718253,746112,74566,65058,69130,105481,432081,352494,373564,300096,736425,662625,729336,700281
M022,362104,153502,193149,72480,NA,NA,NA,NA,NA,207013,224225,59297,NA,90562,39833,NA
M023,110258552,109042624,132915176,125025280,11614702,15389131,12614367,12631837,110566880,95439344,98290920,98633400,102424856,86275144,87794168,78871296
M024,305488,166010,182740,62282,NA,NA,NA,NA,NA,148461,81259,NA,NA,90154,63355,NA
M025,597275,684397,620886,652869,NA,30063,27097,41481,260107,253586,262857,287564,351775,392566,338430,371117
M026,54894,47351,54772,42862,NA,NA,NA,NA,31547,36787,39032,34105,NA,14606,NA,NA
M027,50934,47433,53029,52021,NA,NA,NA,NA,NA,41021,40940,34290,28261,NA,29298,NA
M028,429737,208176,254080,225577,531514,179372,532032,519571,282809,183841,299469,355617,637298,547142,744255,653485
M029,97131,52130,52773,52616,NA,NA,NA,NA,69491,74182,69710,72740,86976,82088,39718,77894
M030,NA,NA,729557,NA,NA,NA,NA,NA,1737880,NA,NA,170288,NA,NA,NA,NA
M032,546623488,534705792,536968320,590680192,37355860,39171084,41034196,38755116,632160960,566674048,584326592,550116736,152900256,132028056,149296480,121670864
M033,174827536,180210576,179771920,192059152,62859384,63548368,68708664,61815928,137096288,117254928,119047328,119101360,98702240,94357352,95536920,90173776
M034,332536,349630,286706,524377,NA,NA,80960,NA,300416,250300,262453,228102,318126,326928,332723,217532
M035,480659,456424,513263,344401,NA,NA,NA,NA,777655,560314,358279,390265,NA,247238,178435,NA
M036,285447584,280188448,325437376,308198240,3505515,3627874,3927201,3367722,206646976,165282288,203518000,199462368,83522192,74918056,80703440,75087448
M037,2774202,2773901,3008422,2938721,NA,NA,NA,NA,1859629,1547825,2002063,1693961,365555,372490,353711,379823
M038,232956560,238543936,233874912,247262976,4559522,4845332,5891907,5422053,227101456,197376064,208934256,194278240,153765840,140274896,150059552,132471192
M039,123762680,121666968,141568800,132577328,3128633,2362419,3562914,3730545,54647856,46352772,54015712,53855352,48720096,45330584,47613340,44978992
M040,123263768,125754288,145578704,139787584,65741896,62314364,63818520,66941792,119053200,96878808,107998840,104803976,92827816,81894304,85554464,83194448
M041,102018,116474,142975,107590,NA,NA,NA,NA,107623,105895,116634,99145,56283,49868,38977,48278
M042,6663159,5727805,6418270,7027754,NA,NA,NA,NA,9272298,7091441,8105325,7428554,11210697,8559887,9205979,7981334
M043,9871683,10592722,10386437,12566454,430204,541923,681254,548702,16360117,12617466,12178765,10776584,14138175,10940101,11756280,11937197
M044,51619396,52987084,45324216,47650256,1145451,877926,1209445,1115415,44312096,47469840,40833272,41985248,57628564,56846784,52836972,53212024
M045,801332,924869,677958,795891,NA,NA,NA,NA,183914,291848,188474,285000,NA,NA,NA,NA
M046,42919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
