Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC27828.1,114,145,144,126,111,125,45,35,108,160,165,45
EIC27829.1,125,177,155,177,185,166,72,93,100,172,190,38
EIC27830.1,92,113,76,112,80,102,59,54,75,97,102,18
EIC27831.1,198,263,329,379,330,337,259,261,475,341,449,160
EIC27832.1,15,12,15,37,34,14,5,11,14,26,20,2
EIC27833.1,15,26,25,29,29,22,12,8,23,21,29,5
EIC27834.1,1,9,4,14,5,9,5,6,9,7,6,1
EIC27835.1,137,180,182,286,183,209,93,135,250,205,306,98
EIC27836.1,56,51,33,61,61,61,36,40,60,71,38,22
EIC27837.1,115,265,97,152,69,339,38,56,85,127,209,50
EIC27838.1,158,229,198,238,179,243,46,63,101,201,226,28
EIC27839.1,105,138,144,131,116,144,66,51,101,161,156,41
EIC27840.1,128,224,190,203,145,216,86,92,150,194,226,33
EIC27841.1,276,359,351,366,303,383,126,133,278,400,419,69
EIC27842.1,135,201,179,200,156,197,68,114,151,209,215,52
EIC27843.1,171,241,269,238,176,225,152,185,209,229,257,72
EIC27844.1,28,46,34,51,33,41,13,16,20,41,46,13
EIC27845.1,184,382,239,258,164,427,99,160,188,210,248,71
EIC27846.1,176,281,210,243,186,327,171,199,271,202,229,94
EIC27847.1,175,297,245,299,239,356,147,200,212,254,346,31
EIC27848.1,463,622,600,915,691,631,339,412,532,737,1062,230
EIC27849.1,2518,3989,3128,3493,2685,3550,1961,2637,3011,3127,3900,911
EIC27850.1,1094,2035,1257,1440,1110,2186,544,743,958,1387,1497,242
EIC27851.1,72,153,82,143,89,172,40,46,58,79,102,14
EIC27852.1,6693,11485,6905,7695,5946,11638,4274,5619,6924,6792,7245,1939
EIC27853.1,3273,5645,3531,4058,2960,5684,1714,2153,2059,3216,3274,651
EIC27854.1,337,668,416,470,339,660,245,269,365,347,407,125
EIC27855.1,722,1191,817,882,550,1171,286,439,516,725,742,147
EIC27856.1,286,444,288,356,282,491,126,143,176,290,235,68
EIC27857.1,269,459,390,481,359,438,169,185,212,349,414,63
EIC27858.1,435,673,630,766,560,716,193,238,328,631,675,117
EIC27859.1,1115,1826,1477,1353,1161,1467,1141,1437,1869,1533,1459,568
EIC27860.1,567,815,630,862,742,921,203,252,387,735,759,133
