Accession,UniProtKB,EC_Number,COG,Chromosome,Source,Start,Stop,DNA_Length,Protein_Length,GenBank_Name,UniProt_GO,KEGG_Enzymes,KEGG_Pathways
EIC29772.1,H8GPZ3,3.1.-.-,A,NZ_CM001475.1,chromosome,2268233,2268799,566,188,oligoribonuclease (3\\'->5\\' exoribonuclease),GO:0000175; GO:0003676; GO:0005737,ko:K13288,"ko03008,map03008"
EIC28546.1,H8GQ87,6.5.1.4,A,NZ_CM001475.1,chromosome,812919,813944,1025,341,RNA 3\\'\\'-phosphate cyclase,GO:0003963; GO:0005524; GO:0005737; GO:0006396,ko:K01974,NA
EIC29457.1,H8GM96,,"B, Q",NZ_CM001475.1,chromosome,1906189,1907001,812,270,"deacetylase, histone deacetylase/acetoin utilization protein",NA,NA,NA
EIC30047.1,H8GGT4,,"B, Q",NZ_CM001475.1,chromosome,2634258,2635355,1097,365,"deacetylase, histone deacetylase/acetoin utilization protein",NA,NA,NA
EIC29876.1,H8GR49,1.1.1.1,C,NZ_CM001475.1,chromosome,2384363,2385391,1028,342,zinc-binding alcohol dehydrogenase family protein,GO:0016491,ko:K13953,"ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220"
EIC30368.1,H8GJK8,1.1.1.1,C,NZ_CM001475.1,chromosome,2997823,2998881,1058,352,Zn-dependent alcohol dehydrogenase,GO:0008270; GO:0016491,"ko:K13953,ko:K13979","ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220"
EIC29884.1,H8GR57,1.1.1.1; 4.3.3.7,C,NZ_CM001475.1,chromosome,2391647,2392840,1193,397,"alcohol dehydrogenase, class IV",GO:0016491; GO:0046872,"ko:K00001,ko:K01714","ko00010,ko00071,ko00261,ko00300,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,ko01230,map00010,map00071,map00261,map00300,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220,map01230"
EIC28225.1,H8GMI5,1.1.1.22,C,NZ_CM001475.1,chromosome,394774,396096,1322,440,nucleotide sugar dehydrogenase,GO:0000271; GO:0003979; GO:0051287,ko:K00012,"ko00040,ko00053,ko00520,ko01100,map00040,map00053,map00520,map01100"
EIC29743.1,H8GPW4,1.1.1.26,C,NZ_CM001475.1,chromosome,2233844,2234818,974,324,lactate dehydrogenase-like oxidoreductase,GO:0016616; GO:0051287,ko:K00015,"ko00630,ko01100,ko01110,ko01120,map00630,map01100,map01110,map01120"
EIC28778.1,H8GGI2,1.1.1.27,C,NZ_CM001475.1,chromosome,1074554,1075480,926,308,malate/lactate dehydrogenase,GO:0005975; GO:0016616; GO:0019752,ko:K00016,"ko00010,ko00270,ko00620,ko00640,ko01100,ko01110,ko01120,ko01130,ko04922,map00010,map00270,map00620,map00640,map01100,map01110,map01120,map01130,map04922"
EIC30878.1,H8GPD2,1.1.1.284,C,NZ_CM001475.1,chromosome,3610848,3611966,1118,372,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,GO:0006069; GO:0008270; GO:0016021; GO:0051903,ko:K00121,"ko00010,ko00071,ko00350,ko00625,ko00626,ko00680,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01200,ko01220,ko05204,map00010,map00071,map00350,map00625,map00626,map00680,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01200,map01220,map05204"
EIC31503.1,H8GIZ6,1.1.1.31; 1.1.1.60,C,NZ_CM001475.1,chromosome,4300894,4301772,878,292,"beta-hydroxyacid dehydrogenase, 3-hydroxyisobutyrate dehydrogenase",GO:0016491; GO:0050661; GO:0051287,"ko:K00020,ko:K00042","ko00280,ko00630,ko01100,map00280,map00630,map01100"
EIC29742.1,H8GPW3,1.1.1.37,C,NZ_CM001475.1,chromosome,2232775,2233752,977,325,malate dehydrogenase,GO:0005975; GO:0006099; GO:0006108; GO:0030060,ko:K00024,"ko00020,ko00270,ko00620,ko00630,ko00680,ko00710,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00270,map00620,map00630,map00680,map00710,map00720,map01100,map01110,map01120,map01130,map01200"
EIC29587.1,H8GNJ4,1.1.1.38; 1.1.1.40; 2.3.1.8,C,NZ_CM001475.1,chromosome,2035027,2037339,2312,770,malic enzyme,GO:0004471; GO:0006108; GO:0016746; GO:0046872; GO:0051287,"ko:K00027,ko:K00029,ko:K00625,ko:K13788","ko00430,ko00620,ko00640,ko00680,ko00710,ko00720,ko01100,ko01120,ko01200,ko02020,map00430,map00620,map00640,map00680,map00710,map00720,map01100,map01120,map01200,map02020"
EIC31539.1,H8GJ32,1.1.1.41,C,NZ_CM001475.1,chromosome,4343725,4344735,1010,336,isocitrate/isopropylmalate dehydrogenase,GO:0000287; GO:0016616; GO:0051287,ko:K00030,"ko00020,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map01100,map01110,map01120,map01130,map01200,map01210,map01230"
EIC29341.1,H8GLH6,1.1.1.42,C,NZ_CM001475.1,chromosome,1763724,1765034,1310,436,"isocitrate dehydrogenase, NADP-dependent, prokaryotic type",GO:0000287; GO:0004450; GO:0006097; GO:0006099; GO:0051287,ko:K00031,"ko00020,ko00480,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04146,map00020,map00480,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04146"
EIC30633.1,H8GMA9,1.1.5.3,C,NZ_CM001475.1,chromosome,3323215,3324837,1622,540,glycerol-3-phosphate dehydrogenase,GO:0004368; GO:0006072; GO:0009331,ko:K00111,"ko00564,ko01110,map00564,map01110"
EIC28237.1,H8GMJ7,1.10.3.14,C,NZ_CM001475.1,chromosome,411061,412200,1139,379,"cytochrome d oxidase cyd, subunit II",GO:0016021; GO:0055114,ko:K00426,"ko00190,ko01100,ko02020,map00190,map01100,map02020"
EIC28238.1,H8GMJ8,1.10.3.14,C,NZ_CM001475.1,chromosome,412193,413755,1562,520,"cytochrome bd-type quinol oxidase, subunit 1",GO:0005886; GO:0009055; GO:0016021; GO:0019646; GO:0046872; GO:0070069,ko:K00425,"ko00190,ko01100,ko02020,map00190,map01100,map02020"
EIC31257.1,H8GGY2,1.11.1.22; 1.11.1.9,C,NZ_CM001475.1,chromosome,4013098,4013589,491,163,glutathione peroxidase,GO:0004602; GO:0006979,"ko:K00432,ko:K20207","ko00480,ko00590,ko04918,map00480,map00590,map04918"
EIC29279.1,H8GKV7,1.11.1.5,C,NZ_CM001475.1,chromosome,1683731,1685635,1904,634,cytochrome c peroxidase,GO:0004601; GO:0005623; GO:0009055; GO:0020037; GO:0045454; GO:0046872,"ko:K00428,ko:K03619",NA
EIC29753.1,H8GPX4,1.11.1.5,C,NZ_CM001475.1,chromosome,2246565,2247575,1010,336,cytochrome c peroxidase,GO:0004601; GO:0009055; GO:0020037; GO:0046872,ko:K00428,NA
EIC29960.1,H8GG36,1.11.1.5,C,NZ_CM001475.1,chromosome,2496343,2497752,1409,469,cytochrome c peroxidase,GO:0004601; GO:0009055; GO:0020037; GO:0046872,ko:K00428,NA
EIC29965.1,H8GG41,1.11.1.5,C,NZ_CM001475.1,chromosome,2501086,2502147,1061,353,cytochrome c peroxidase,GO:0004601; GO:0009055; GO:0020037; GO:0046872,ko:K00428,NA
EIC28970.1,H8GHY6,1.12.1.2,C,NZ_CM001475.1,chromosome,1300510,1302012,1502,500,"coenzyme F420-reducing hydrogenase, alpha subunit",GO:0008901; GO:0016151,ko:K00436,NA
EIC28972.1,H8GHY8,1.12.1.2,C,NZ_CM001475.1,chromosome,1302520,1303062,542,180,"coenzyme F420-reducing hydrogenase, gamma subunit",GO:0051536; GO:0055114,ko:K18007,NA
EIC28973.1,H8GHY9,1.12.1.2,C,NZ_CM001475.1,chromosome,1303052,1303771,719,239,NADH:ubiquinone oxidoreductase chain G-like protein,GO:0008137; GO:0009055; GO:0016020; GO:0042773; GO:0051536,"ko:K18006,ko:K18007",NA
EIC28974.1,H8GHZ0,1.12.1.2,C,NZ_CM001475.1,chromosome,1303773,1305551,1778,592,"NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit",GO:0008137; GO:0010181; GO:0046872; GO:0051539,ko:K18005,NA
EIC30687.1,H8GMG3,1.12.99.6,C,NZ_CM001475.1,chromosome,3375016,3376554,1538,512,"Ni,Fe-hydrogenase I large subunit",GO:0008901; GO:0016151,ko:K06281,"ko00633,ko01120,map00633,map01120"
EIC30688.1,H8GMG4,1.12.99.6,C,NZ_CM001475.1,chromosome,3376558,3377499,941,313,"Ni,Fe-hydrogenase I small subunit",GO:0008901; GO:0009375; GO:0051536,ko:K06282,"ko00633,ko01120,map00633,map01120"
EIC31565.1,H8GJN6,1.13.11.79; 2.1.1.107; 2.4.2.21,C,NZ_CM001475.1,chromosome,4374758,4375417,659,219,"cob(II)yrinic acid a,c-diamide reductase",GO:0016491,"ko:K00768,ko:K02303,ko:K04719","ko00740,ko00860,ko01100,ko01110,ko01120,map00740,map00860,map01100,map01110,map01120"
EIC29032.1,H8GIK5,1.14.14.3,C,NZ_CM001475.1,chromosome,1368031,1369122,1091,363,"flavin-dependent oxidoreductase, F420-dependent methylene-tetrahydromethanopterin reductase",GO:0016705,"ko:K00494,ko:K15854","ko02020,ko02024,map02020,map02024"
EIC31545.1,H8GJ38,1.14.14.35,C,NZ_CM001475.1,chromosome,4352753,4353844,1091,363,dimethyl sulfone monooxygenase SfnG,GO:0004497; GO:0016705,ko:K17228,"ko00920,map00920"
EIC28750.1,H8GFZ9,1.14.14.5,C,NZ_CM001475.1,chromosome,1044894,1046051,1157,385,"alkanesulfonate monooxygenase, FMNH(2)-dependent",GO:0008726,ko:K04091,"ko00920,map00920"
EIC29219.1,H8GK95,1.14.18.3; 1.14.99.39,C,NZ_CM001475.1,chromosome,1606070,1606822,752,250,Ammonia monooxygenase,GO:0004497; GO:0016021,ko:K10944,"ko00680,ko00910,ko01100,ko01120,ko01200,map00680,map00910,map01100,map01120,map01200"
EIC31239.1,H8GGF9,1.14.18.3; 1.14.99.39,C,NZ_CM001475.1,chromosome,3997718,3998461,743,247,"methane monooxygenase/ammonia monooxygenase, subunit A",GO:0004497; GO:0016021,ko:K10944,"ko00680,ko00910,ko01100,ko01120,ko01200,map00680,map00910,map01100,map01120,map01200"
EIC30951.1,H8GQ11,1.15.1.1,C,NZ_CM001475.1,chromosome,3697165,3697746,581,193,superoxide dismutase,GO:0004784; GO:0046872,"ko:K03601,ko:K04564","ko03430,ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map03430,map04013,map04068,map04146,map04211,map04212,map04213,map05016"
EIC28211.1,H8GM15,1.17.1.1,C,NZ_CM001475.1,chromosome,378691,379671,980,326,2-polyprenylphenol hydroxylase-like oxidoreductase,GO:0009055; GO:0046872; GO:0051537,"ko:K00523,ko:K04755,ko:K08952,ko:K08953,ko:K08954","ko00520,map00520"
EIC29236.1,H8GKR4,1.17.1.10; 1.17.1.9,C,NZ_CM001475.1,chromosome,1627331,1630171,2840,946,"formate dehydrogenase, alpha subunit, archaeal-type",GO:0008863; GO:0009055; GO:0015942; GO:0043546; GO:0046872; GO:0051536,"ko:K00123,ko:K05299","ko00630,ko00680,ko00720,ko01100,ko01120,ko01200,map00630,map00680,map00720,map01100,map01120,map01200"
EIC29027.1,H8GIK0,1.17.1.9,C,NZ_CM001475.1,chromosome,1359495,1360697,1202,400,lactate dehydrogenase-like oxidoreductase,GO:0005737; GO:0008863; GO:0009326; GO:0016616; GO:0042183; GO:0051287,ko:K00122,"ko00630,ko00680,ko01100,ko01120,ko01200,map00630,map00680,map01100,map01120,map01200"
EIC29234.1,H8GKR2,1.17.1.9,C,NZ_CM001475.1,chromosome,1626244,1626456,212,70,NADH-dependent formate dehydrogenase delta subunit FdsD,NA,ko:K00126,"ko00630,ko00680,ko01100,ko01120,ko01200,map00630,map00680,map01100,map01120,map01200"
